,0,1,2,code
430,MALAYSIA AIRPORTS HOLDINGS BERHAD,http://www.malaysiaairports.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5014,5014
431,MALAYSIA BUILDING SOCIETY BERHAD,http://www.mbsb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1171,1171
432,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,http://www.mhb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5186,5186
433,MALAYSIA PACIFIC CORPORATION BERHAD,http://www.mpcb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6548,6548
434,MALAYSIA SMELTING CORPORATION BERHAD,http://www.msmelt.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5916,5916
435,MALAYSIA STEEL WORKS (KL) BHD,http://www.masteel.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5098,5098
436,MALAYSIAN BULK CARRIERS BERHAD,http://www.maybulk.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5077,5077
437,MALAYSIAN PACIFIC INDUSTRIES BERHAD,http://www.mpind.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3867,3867
438,MALAYSIAN RESOURCES CORPORATION BERHAD,http://www.mrcb.com.my/main/index.php,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1651,1651
439,MALPAC HOLDINGS BERHAD,http://www.malpac.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4936,4936
440,MALTON BERHAD,http://www.malton.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6181,6181
441,MANULIFE HOLDINGS BERHAD,http://www.manulife.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1058,1058
442,MARCO HOLDINGS BERHAD,http://www.marcoholdings.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=3514,3514
443,MARINE & GENERAL BERHAD,http://marine-general.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5078,5078
444,MASTER-PACK GROUP BERHAD,http://www.master.net.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7029,7029
445,MATRIX CONCEPTS HOLDINGS BERHAD,http://www.mchb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5236,5236
446,TADMAX RESOURCES BERHAD,http://www.tadmax.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4022,4022
447,MAXIS BERHAD,http://www.maxis.com.my/main.asp,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6012,6012
448,MBM RESOURCES BHD,http://www.mbmr.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5983,5983
449,MCE HOLDINGS BERHAD,http://www.multicode.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7004,7004
450,MCT BERHAD,http://www.mct.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5182,5182
451,MEDIA CHINESE INTERNATIONAL LIMITED,http://www.mediachinesegroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5090,5090
