company,official_site,bursa_site,code
SINO HUA-AN INTERNATIONAL BERHAD,http://www.sinohuaan.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2739,2739
TECK GUAN PERDANA BERHAD,http://www.teckguan.com/TGP,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7439,7439
TEK SENG HOLDINGS BERHAD,http://www.tekseng.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7200,7200
TELEKOM MALAYSIA BERHAD,http://www.tm.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4863,4863
TENAGA NASIONAL BHD,http://www.tnb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5347,5347
TEO GUAN LEE CORPORATION BERHAD,http://www.tglcorp.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9369,9369
TEO SENG CAPITAL BERHAD,http://www.teoseng.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7252,7252
TEXCHEM RESOURCES BERHAD,http://www.texchemgroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=8702,8702
TH HEAVY ENGINEERING BERHAD,http://www.ramunia.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7206,7206
TH PLANTATIONS BERHAD,http://thplantations.com.my/thp/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5112,5112
THETA EDGE BERHAD,http://www.theta-edge.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9075,9075
THONG GUAN INDUSTRIES BERHAD,http://www.thongguan.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7034,7034
THREE-A RESOURCES BERHAD,http://www.three-a.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=0012,0012
THRIVEN GLOBAL BERHAD,http://thriven.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7889,7889
TIEN WAH PRESS HOLDINGS BERHAD,http://www.tienwah.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7374,7374
